,reported_acceptor,reported_donor,reference,DOI,Voc,Jsc,FF,PCE,acceptor_type,acceptor_class,fused_rings_in_core,donor_type,acc_SMILES_sidechains,acc_SMILES_shortened_sidechains,don_SMILES_sidechains,don_SMILES_shortened_sidechains
134,ITIC,2D-PBTCl2,,10.1039/C7TA09837E,0.87,14.52,58.43,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,ClC1=C(C2=C(Cl)C=C(C(OCC)=O)S2)SC3=C(C(S4)=CC5=C4C(C6=CC=C(CC(CCCC)CC)S6)=C(C=C(C7=C(C(Cl)=C(C8=C(Cl)C=C(C(OCC)=O)S8)S9)C9=C(C(S%10)=CC%11=C%10C(C%12=CC=C(CC(CC)CCCC)S%12)=C(C=C(C%13=C(C(Cl)=C(C%14=C(Cl)C=C(C(OCC)=O)S%14)S%15)C%15=CS%13)S%16)C%16=C%11C%17=CC=C(CC(CC)CCCC)S%17)S7)S%18)C%18=C5C%19=CC=C(CC(CC)CCCC)S%19)SC(C%20=CC%21=C(C%22=CC=C(CC(CCCC)CC)S%22)C%23=C(C=CS%23)C(C%24=CC=C(CC(CC)CCCC)S%24)=C%21S%20)=C31,CCOC(=O)c1cc(Cl)c(-c2sc3csc(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7sc(-c8cc9c(-c%10ccc(CC)s%10)c%10sc(-c%11sc(-c%12cc%13c(-c%14ccc(CC)s%14)c%14sccc%14c(-c%14ccc(CC)s%14)c%13s%12)c%12c(Cl)c(-c%13sc(C(=O)OCC)cc%13Cl)sc%11%12)cc%10c(-c%10ccc(CC)s%10)c9s8)c8c(Cl)c(-c9sc(C(=O)OCC)cc9Cl)sc78)cc6c(-c6ccc(CC)s6)c5s4)c3c2Cl)s1
135,ITIC,2D-PBTCl,,10.1039/C7TA09837E,0.91,15.79,61.32,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,ClC1=C(C2=CC=C(C(OCC)=O)S2)SC3=C(C(S4)=CC5=C4C(C6=CC=C(CC(CCCC)CC)S6)=C(C=C(C7=C(C(Cl)=C(C8=CC=C(C(OCC)=O)S8)S9)C9=C(C(S%10)=CC%11=C%10C(C%12=CC=C(CC(CC)CCCC)S%12)=C(C=C(C%13=C(C(Cl)=C(C%14=CC=C(C(OCC)=O)S%14)S%15)C%15=CS%13)S%16)C%16=C%11C%17=CC=C(CC(CC)CCCC)S%17)S7)S%18)C%18=C5C%19=CC=C(CC(CC)CCCC)S%19)SC(C%20=CC%21=C(C%22=CC=C(CC(CCCC)CC)S%22)C%23=C(C=CS%23)C(C%24=CC=C(CC(CC)CCCC)S%24)=C%21S%20)=C31,CCOC(=O)c1ccc(-c2sc3csc(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7sc(-c8cc9c(-c%10ccc(CC)s%10)c%10sc(-c%11sc(-c%12cc%13c(-c%14ccc(CC)s%14)c%14sccc%14c(-c%14ccc(CC)s%14)c%13s%12)c%12c(Cl)c(-c%13ccc(C(=O)OCC)s%13)sc%11%12)cc%10c(-c%10ccc(CC)s%10)c9s8)c8c(Cl)c(-c9ccc(C(=O)OCC)s9)sc78)cc6c(-c6ccc(CC)s6)c5s4)c3c2Cl)s1
136,ITIC,PBDTTh-DTffBT,,10.1039/C7TA10247J,0.91,13.62,63.2,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,FC(C(F)=C(C1=NSN=C12)C3=CC(CC(CCCC)CC)=C(C4=CC5=C(C6=CC=C(CC(CC)CCCC)S6)C7=C(C=C(S7)C(SC(C8=C(C(F)=C(C9=NSN=C98)C%10=CC(CC(CCCC)CC)=C(C%11=CC%12=C(C%13=CC=C(CC(CC)CCCC)S%13)C%14=C(C=C(S%14)C(SC(C%15=C(C(F)=C(C%16=NSN=C%16%15)C%17=CC(CC(CCCC)CC)=CS%17)F)=C%18)=C%18CC(CC)CCCC)C(OCC(CCCCCC)CCCCCCCC)=C%12S%11)S%10)F)=C%19)=C%19CC(CC)CCCC)C(OCC(CCCCCC)CCCCCCCC)=C5S4)S3)=C2C%20=CC(CC(CC)CCCC)=C(S%20)C(S%21)=CC%22=C%21C(C%23=CC=C(CC(CC)CCCC)S%23)=C(C=CS%24)C%24=C%22OCC(CCCCCC)CCCCCCCC,CCOC1=C2C(C=CS2)=C(C3=CC=C(CC)S3)C4=C1C=C(S4)C(SC(C5=C(C(F)=C(C6=NSN=C65)C7=CC(CC)=C(C8=CC9=C(C%10=CC=C(CC)S%10)C%11=C(C=C(S%11)C(SC(C%12=C(C(F)=C(C%13=NSN=C%13%12)C%14=CC(CC)=C(C%15=CC%16=C(C%17=CC=C(CC)S%17)C%18=C(C=C(S%18)C(SC(C%19=C(C(F)=C(C%20=NSN=C%20%19)C%21=CC(CC)=CS%21)F)=C%22)=C%22CC)C(OCC)=C%16S%15)S%14)F)=C%23)=C%23CC)C(OCC)=C9S8)S7)F)=C%24)=C%24CC
137,ITIC,TTFQx-T2,,10.1039/C7TA10262C,0.94,13.75,56.11,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,FC(C(F)=C1C(S2)=CC=C2C3=CC4=C(S3)C(C(S5)=CC=C5CC(CCCCCC)CCCC)=C6C(SC(C7=CC=C(C(C8=NC(C9=CC(F)=C(S9)CC(CC)CCCC)=C(N=C8%10)C%11=CC(F)=C(S%11)CC(CC)CCCC)=C(F)C(F)=C%10C(S%12)=CC=C%12C%13=CC%14=C(S%13)C(C(S%15)=CC=C%15CC(CCCCCC)CCCC)=C%16C(SC(C%17=CC=C(C(C%18=NC(C%19=CC(F)=C(S%19)CC(CC)CCCC)=C(N=C%18%20)C%21=CC(F)=C(S%21)CC(CC)CCCC)=C(F)C(F)=C%20C(S%22)=CC=C%22C%23=CC%24=C(S%23)C(C(S%25)=CC=C%25CC(CCCCCC)CCCC)=C%26C(SC(C%27=CC=CS%27)=C%26)=C%24C%28=CC=C(S%28)CC(CCCC)CCCCCC)S%17)=C%16)=C%14C%29=CC=C(S%29)CC(CCCC)CCCCCC)S7)=C6)=C4C%30=CC=C(S%30)CC(CCCC)CCCCCC)=CC%31=NC(C%32=CC(F)=C(S%32)CC(CC)CCCC)=C(N=C%311)C%33=CC(F)=C(S%33)CC(CC)CCCC,CCc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nc(-c%19cc(F)c(CC)s%19)c(-c%19cc(F)c(CC)s%19)nc%17%18)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12nc(-c%13cc(F)c(CC)s%13)c(-c%13cc(F)c(CC)s%13)nc%11%12)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6nc(-c7cc(F)c(CC)s7)c(-c7cc(F)c(CC)s7)nc56)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1
138,ITIC,PBZ-m-CF3,,10.1039/C7TA11059F,0.94,18.4,60.2,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCC(CCCCCC)COC(C(C(F)(F)F)=C1)=CC=C1C2=C3SC(C4=CC=C(C5=C(C(F)=CC6=NN(CC(CCCCCCCC)CCCCCC)N=C65)F)S4)=CC3=C(C7=CC(C(F)(F)F)=C(OCC(CCCCCC)CCCC)C=C7)C8=C2C=C(S8)C9=CC=C(C(C%10=NN(CC(CCCCCCCC)CCCCCC)N=C%10%11)=C(F)C(F)=C%11C%12=CC=C(S%12)C%13=CC%14=C(C%15=CC(C(F)(F)F)=C(OCC(CCCCCC)CCCC)C=C%15)C%16=C(C(C%17=CC=C(C(C(F)(F)F)=C%17)OCC(CCCCCC)CCCC)=C%14S%13)C=C(S%16)C%18=CC=C(C(C%19=NN(CC(CCCCCCCC)CCCCCC)N=C%19%20)=C(F)C(F)=C%20C%21=CC=C(S%21)C%22=CC%23=C(C%24=CC(C(F)(F)F)=C(OCC(CCCCCC)CCCC)C=C%24)C%25=C(C(C%26=CC=C(C(C(F)(F)F)=C%26)OCC(CCCCCC)CCCC)=C%23S%22)C=C(S%25)C%27=CC=CS%27)S%18)S9,CCOc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(OCC)c(C(F)(F)F)c9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(OCC)c(C(F)(F)F)c%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(OCC)c(C(F)(F)F)c%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(OCC)c(C(F)(F)F)c9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(OCC)c(C(F)(F)F)c3)c3ccsc23)cc1C(F)(F)F
139,ITIC,PBDTTAZPh-R,,10.1039/C8TA07134A,0.9209999999999999,10.43,39.8,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCCCCCCCC(CSC1=CC=C(C2=C3C=C(SC3=C(C4=C2SC(C5=CC=C(S5)C(C6=NN(N=C6C(C7=CC=C(C8=CC9=C(C%10=C(C=C(C%11=CC=C(S%11)C(C%12=NN(N=C%12C(C%13=CC=C(C%14=CC%15=C(C%16=C(C=C(C%17=CC=CS%17)S%16)C(C%18=CC=C(CCCCCC)C=C%18)=C%15S%14)C%19=CC=C(S%19)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S%13)=C%20F)CC(CCCCCC)CCCCCCCC)=C%20F)S%10)C(C%21=CC=C(CCCCCC)C=C%21)=C9S8)C%22=CC=C(S%22)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S7)=C%23F)CC(CCCCCC)CCCCCCCC)=C%23F)=C4)C%24=CC=C(CCCCCC)C=C%24)C%25=CC=C(S%25)C%26=C(F)C(F)=CC%27=NN(N=C%27%26)CC(CCCCCC)CCCCCCCC)S1)CCCCCCCCCCCC,FC1=C(C2=CC=C(C3=CC4=C(C5=C(C(C6=CC=C(S6)SCC)=C4S3)C=CS5)C7=CC=C(CC)C=C7)S2)C8=NN(CC)N=C8C(C9=CC=C(S9)C%10=CC%11=C(C(C%12=CC=C(CC)C=C%12)=C%13C=C(SC%13=C%11C%14=CC=C(S%14)SCC)C%15=CC=C(S%15)C%16=C(C(F)=C(C%17=NN(N=C%17%16)CC)C%18=CC=C(S%18)C%19=CC%20=C(C(C%21=CC=C(CC)C=C%21)=C%22C=C(SC%22=C%20C%23=CC=C(S%23)SCC)C%24=CC=C(S%24)C%25=C(C(F)=C(C%26=NN(N=C%26%25)CC)C%27=CC=CS%27)F)S%19)F)S%10)=C1F
140,ITIC,PBDTTAZPh-SR,,10.1039/C8TA07134A,0.915,15.24,43.9,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCCCCCCCC(CSC1=CC=C(C2=C3C=C(SC3=C(C4=C2SC(C5=CC=C(S5)C(C6=NN(N=C6C(C7=CC=C(C8=CC9=C(C%10=C(C=C(C%11=CC=C(S%11)C(C%12=NN(N=C%12C(C%13=CC=C(C%14=CC%15=C(C%16=C(C=C(C%17=CC=CS%17)S%16)C(C%18=CC=C(SCCCCCC)C=C%18)=C%15S%14)C%19=CC=C(S%19)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S%13)=C%20F)CC(CCCCCC)CCCCCCCC)=C%20F)S%10)C(C%21=CC=C(SCCCCCC)C=C%21)=C9S8)C%22=CC=C(S%22)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S7)=C%23F)CC(CCCCCC)CCCCCCCC)=C%23F)=C4)C%24=CC=C(SCCCCCC)C=C%24)C%25=CC=C(S%25)C%26=C(F)C(F)=CC%27=NN(N=C%27%26)CC(CCCCCC)CCCCCCCC)S1)CCCCCCCCCCCC,FC1=C(C2=CC=C(C3=CC4=C(C5=C(C(C6=CC=C(S6)SCC)=C4S3)C=CS5)C7=CC=C(SCC)C=C7)S2)C8=NN(CC)N=C8C(C9=CC=C(S9)C%10=CC%11=C(C(C%12=CC=C(SCC)C=C%12)=C%13C=C(SC%13=C%11C%14=CC=C(S%14)SCC)C%15=CC=C(S%15)C%16=C(C(F)=C(C%17=NN(N=C%17%16)CC)C%18=CC=C(S%18)C%19=CC%20=C(C(C%21=CC=C(SCC)C=C%21)=C%22C=C(SC%22=C%20C%23=CC=C(S%23)SCC)C%24=CC=C(S%24)C%25=C(C(F)=C(C%26=NN(N=C%26%25)CC)C%27=CC=CS%27)F)S%19)F)S%10)=C1F
141,ITIC,PBDTTAZPh-OR,,10.1039/C8TA07134A,0.888,16.31,57.6,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCCCCCCCC(CSC1=CC=C(C2=C3C=C(SC3=C(C4=C2SC(C5=CC=C(S5)C(C6=NN(N=C6C(C7=CC=C(C8=CC9=C(C%10=C(C=C(C%11=CC=C(S%11)C(C%12=NN(N=C%12C(C%13=CC=C(C%14=CC%15=C(C%16=C(C=C(C%17=CC=CS%17)S%16)C(C%18=CC=C(OCCCCCC)C=C%18)=C%15S%14)C%19=CC=C(S%19)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S%13)=C%20F)CC(CCCCCC)CCCCCCCC)=C%20F)S%10)C(C%21=CC=C(OCCCCCC)C=C%21)=C9S8)C%22=CC=C(S%22)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S7)=C%23F)CC(CCCCCC)CCCCCCCC)=C%23F)=C4)C%24=CC=C(OCCCCCC)C=C%24)C%25=CC=C(S%25)C%26=C(F)C(F)=CC%27=NN(N=C%27%26)CC(CCCCCC)CCCCCCCC)S1)CCCCCCCCCCCC,FC1=C(C2=CC=C(C3=CC4=C(C5=C(C(C6=CC=C(S6)SCC)=C4S3)C=CS5)C7=CC=C(OCC)C=C7)S2)C8=NN(CC)N=C8C(C9=CC=C(S9)C%10=CC%11=C(C(C%12=CC=C(OCC)C=C%12)=C%13C=C(SC%13=C%11C%14=CC=C(S%14)SCC)C%15=CC=C(S%15)C%16=C(C(F)=C(C%17=NN(N=C%17%16)CC)C%18=CC=C(S%18)C%19=CC%20=C(C(C%21=CC=C(OCC)C=C%21)=C%22C=C(SC%22=C%20C%23=CC=C(S%23)SCC)C%24=CC=C(S%24)C%25=C(C(F)=C(C%26=NN(N=C%26%25)CC)C%27=CC=CS%27)F)S%19)F)S%10)=C1F
142,ITIC,PBDTTAZ-PhPh,,10.1039/C8TA07134A,0.9259999999999999,16.67,60.4,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCCCCCCCC(CSC1=CC=C(C2=C3C=C(SC3=C(C4=C2SC(C5=CC=C(S5)C(C6=NN(N=C6C(C7=CC=C(C8=CC9=C(C%10=C(C=C(C%11=CC=C(S%11)C(C%12=NN(N=C%12C(C%13=CC=C(C%14=CC%15=C(C%16=C(C=C(C%17=CC=CS%17)S%16)C(C%18=CC=C(C%19=CC=CC=C%19)C=C%18)=C%15S%14)C%20=CC=C(S%20)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S%13)=C%21F)CC(CCCCCC)CCCCCCCC)=C%21F)S%10)C(C%22=CC=C(C%23=CC=CC=C%23)C=C%22)=C9S8)C%24=CC=C(S%24)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S7)=C%25F)CC(CCCCCC)CCCCCCCC)=C%25F)=C4)C%26=CC=C(C%27=CC=CC=C%27)C=C%26)C%28=CC=C(S%28)C%29=C(F)C(F)=CC%30=NN(N=C%30%29)CC(CCCCCC)CCCCCCCC)S1)CCCCCCCCCCCC,FC1=C(C2=CC=C(C3=CC4=C(C5=C(C(C6=CC=C(S6)SCC)=C4S3)C=CS5)C7=CC=C(C8=CC=CC=C8)C=C7)S2)C9=NN(CC)N=C9C(C%10=CC=C(S%10)C%11=CC%12=C(C(C%13=CC=C(C%14=CC=CC=C%14)C=C%13)=C%15C=C(SC%15=C%12C%16=CC=C(S%16)SCC)C%17=CC=C(S%17)C%18=C(C(F)=C(C%19=NN(N=C%19%18)CC)C%20=CC=C(S%20)C%21=CC%22=C(C(C%23=CC=C(C%24=CC=CC=C%24)C=C%23)=C%25C=C(SC%25=C%22C%26=CC=C(S%26)SCC)C%27=CC=C(S%27)C%28=C(C(F)=C(C%29=NN(N=C%29%28)CC)C%30=CC=CS%30)F)S%21)F)S%11)=C1F
143,ITIC,PBDTTAZ-Ph,,10.1039/C8TA07134A,0.919,17.86,64.9,,sm,fused,7.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCCCCCCCC(CSC1=CC=C(C2=C3C=C(SC3=C(C4=C2SC(C5=CC=C(S5)C(C6=NN(N=C6C(C7=CC=C(C8=CC9=C(C%10=C(C=C(C%11=CC=C(S%11)C(C%12=NN(N=C%12C(C%13=CC=C(C%14=CC%15=C(C%16=C(C=C(C%17=CC=CS%17)S%16)C(C%18=CC=CC=C%18)=C%15S%14)C%19=CC=C(S%19)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S%13)=C%20F)CC(CCCCCC)CCCCCCCC)=C%20F)S%10)C(C%21=CC=CC=C%21)=C9S8)C%22=CC=C(S%22)SCC(CCCCCCCCCC)CCCCCCCCCCCC)S7)=C%23F)CC(CCCCCC)CCCCCCCC)=C%23F)=C4)C%24=CC=CC=C%24)C%25=CC=C(S%25)C%26=C(F)C(F)=CC%27=NN(N=C%27%26)CC(CCCCCC)CCCCCCCC)S1)CCCCCCCCCCCC,FC(C(F)=C(C1=CC=C(C(S2)=CC3=C2C(C4=CC=CC=C4)=C(C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C(S8)=CC9=C8C(C%10=CC=CC=C%10)=C(C=C(C%11=CC=C(C%12=C(F)C(F)=C(C%13=CC=CS%13)C%14=NN(CC)N=C%14%12)S%11)S%15)C%15=C9C%16=CC=C(SCC)S%16)S7)C%17=NN(CC)N=C%176)S5)S%18)C%18=C3C%19=CC=C(SCC)S%19)S1)C%20=NN(CC)N=C%20%21)=C%21C(S%22)=CC=C%22C%23=CC%24=C(C%25=CC=CC=C%25)C%26=C(C=CS%26)C(C%27=CC=C(SCC)S%27)=C%24S%23
